Epoch [47/150] | Train Loss: 0.5976 | Train Acc: 79.11% | Val Loss: 0.4401 | Val Acc: 85.21% | LR: 0.000300
Epoch [48/150] | Train Loss: 0.5754 | Train Acc: 79.88% | Val Loss: 0.4288 | Val Acc: 85.69% | LR: 0.000299
Epoch [49/150] | Train Loss: 0.5610 | Train Acc: 80.39% | Val Loss: 0.4099 | Val Acc: 86.45% | LR: 0.000299
Epoch [50/150] | Train Loss: 0.5525 | Train Acc: 80.59% | Val Loss: 0.4076 | Val Acc: 86.37% | LR: 0.000298
Epoch [51/150] | Train Loss: 0.5406 | Train Acc: 81.04% | Val Loss: 0.4044 | Val Acc: 86.47% | LR: 0.000298
Epoch [52/150] | Train Loss: 0.5265 | Train Acc: 81.69% | Val Loss: 0.3919 | Val Acc: 86.90% | LR: 0.000297
Epoch [53/150] | Train Loss: 0.5145 | Train Acc: 81.93% | Val Loss: 0.3810 | Val Acc: 87.21% | LR: 0.000296
Epoch [54/150] | Train Loss: 0.4993 | Train Acc: 82.42% | Val Loss: 0.3765 | Val Acc: 87.44% | LR: 0.000295
Epoch [55/150] | Train Loss: 0.4919 | Train Acc: 82.68% | Val Loss: 0.3606 | Val Acc: 87.90% | LR: 0.000293
Epoch [56/150] | Train Loss: 0.4814 | Train Acc: 83.04% | Val Loss: 0.3752 | Val Acc: 87.71% | LR: 0.000292
Epoch [57/150] | Train Loss: 0.4712 | Train Acc: 83.54% | Val Loss: 0.3598 | Val Acc: 88.16% | LR: 0.000290
Epoch [58/150] | Train Loss: 0.4606 | Train Acc: 83.80% | Val Loss: 0.3480 | Val Acc: 88.40% | LR: 0.000289
Epoch [59/150] | Train Loss: 0.4497 | Train Acc: 84.13% | Val Loss: 0.3446 | Val Acc: 88.99% | LR: 0.000287
Epoch [60/150] | Train Loss: 0.4350 | Train Acc: 84.71% | Val Loss: 0.3412 | Val Acc: 88.92% | LR: 0.000285
Epoch [61/150] | Train Loss: 0.4327 | Train Acc: 84.88% | Val Loss: 0.3387 | Val Acc: 89.17% | LR: 0.000283
Epoch [62/150] | Train Loss: 0.4225 | Train Acc: 85.17% | Val Loss: 0.3284 | Val Acc: 89.42% | LR: 0.000281
Epoch [63/150] | Train Loss: 0.4147 | Train Acc: 85.35% | Val Loss: 0.3418 | Val Acc: 89.09% | LR: 0.000279
Epoch [64/150] | Train Loss: 0.4059 | Train Acc: 85.88% | Val Loss: 0.3271 | Val Acc: 89.55% | LR: 0.000276
Epoch [65/150] | Train Loss: 0.3925 | Train Acc: 86.13% | Val Loss: 0.3264 | Val Acc: 89.67% | LR: 0.000274
Epoch [66/150] | Train Loss: 0.3894 | Train Acc: 86.15% | Val Loss: 0.3312 | Val Acc: 89.49% | LR: 0.000271
Epoch [67/150] | Train Loss: 0.3853 | Train Acc: 86.39% | Val Loss: 0.3182 | Val Acc: 90.01% | LR: 0.000269
Epoch [68/150] | Train Loss: 0.3721 | Train Acc: 86.87% | Val Loss: 0.3150 | Val Acc: 90.04% | LR: 0.000266
Epoch [69/150] | Train Loss: 0.3626 | Train Acc: 87.17% | Val Loss: 0.3195 | Val Acc: 89.73% | LR: 0.000263
Epoch [70/150] | Train Loss: 0.3602 | Train Acc: 87.33% | Val Loss: 0.3167 | Val Acc: 89.99% | LR: 0.000260
Epoch [71/150] | Train Loss: 0.3495 | Train Acc: 87.60% | Val Loss: 0.3230 | Val Acc: 89.83% | LR: 0.000257
Epoch [72/150] | Train Loss: 0.3449 | Train Acc: 87.74% | Val Loss: 0.3110 | Val Acc: 90.02% | LR: 0.000254
Epoch [73/150] | Train Loss: 0.3316 | Train Acc: 88.29% | Val Loss: 0.3081 | Val Acc: 90.16% | LR: 0.000250
Epoch [74/150] | Train Loss: 0.3313 | Train Acc: 88.39% | Val Loss: 0.3132 | Val Acc: 90.15% | LR: 0.000247
Epoch [75/150] | Train Loss: 0.3193 | Train Acc: 88.78% | Val Loss: 0.3134 | Val Acc: 90.32% | LR: 0.000244
Epoch [76/150] | Train Loss: 0.3125 | Train Acc: 89.02% | Val Loss: 0.3005 | Val Acc: 90.42% | LR: 0.000240
Epoch [77/150] | Train Loss: 0.3138 | Train Acc: 88.95% | Val Loss: 0.3061 | Val Acc: 90.58% | LR: 0.000236
Epoch [78/150] | Train Loss: 0.3007 | Train Acc: 89.34% | Val Loss: 0.2970 | Val Acc: 90.71% | LR: 0.000233
Epoch [79/150] | Train Loss: 0.2941 | Train Acc: 89.62% | Val Loss: 0.3046 | Val Acc: 90.70% | LR: 0.000229
Epoch [80/150] | Train Loss: 0.2898 | Train Acc: 89.71% | Val Loss: 0.3112 | Val Acc: 90.50% | LR: 0.000225
Epoch [81/150] | Train Loss: 0.2843 | Train Acc: 89.98% | Val Loss: 0.3095 | Val Acc: 90.69% | LR: 0.000221
